Designator,Mid X,Mid Y,Rotation,Layer
R1,11.43,38.5572,0,top
R2,11.43,36.0172,0,top
R3,11.43,33.4772,0,top
R4,11.43,30.9372,0,top
R5,11.43,28.3972,0,top
R6,11.43,25.8572,0,top
R7,11.43,23.3172,0,top
R8,11.43,20.7772,0,top
R9,11.43,18.2372,0,top
R10,11.43,15.6972,0,top
R11,11.43,13.1572,0,top
R12,11.43,10.6172,0,top
R13,11.43,8.0772,0,top
