Designator,Mid X,Mid Y,Rotation,Layer
R1,15.8052,38.0238,0,top
R2,15.8052,35.4838,0,top
R3,15.8052,32.9438,0,top
R4,15.8052,30.4038,0,top
R5,15.8052,27.8638,0,top
R6,15.8052,25.3238,0,top
R7,15.8052,22.7838,0,top
R8,15.8052,20.2438,0,top
R9,15.8052,17.7038,0,top
R10,15.8052,15.1638,0,top
R11,15.8052,12.6238,0,top
R12,15.8052,10.0838,0,top
R13,15.8052,7.5438,0,top
