Designator,Mid X,Mid Y,Rotation,Layer
74HC165_1,40.005,7.874,-90,top
74HC165_2,26.416,7.874,-90,top
74HC165_3,12.954,7.874,-90,top
C1,45.6565,12.8905,0,top
C2,32.0675,12.8905,0,top
C3,18.6055,12.8905,0,top
C4,47.9933,25.5905,180,top
RN1,33.274,9.398,90,top
RN2,46.228,7.9375,-90,top
RN3,19.812,9.398,90,top
RN4,33.274,5.588,-90,top
RN5,6.858,7.9375,90,top
RN6,19.812,5.588,-90,top
